Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,Jurisdiction of Occurrence,Urbanization Classification,COVID-19 Deaths,Total Deaths,Footnote
10/20/2021,05/23/2021,05/29/2021,2021,21,05/29/2021,United States,Nonmetropolitan,310,8317,
10/20/2021,05/30/2021,06/05/2021,2021,22,06/05/2021,United States,All Counties in the U.S.,2325,56519,
10/20/2021,05/30/2021,06/05/2021,2021,22,06/05/2021,United States,Metropolitan,2104,48125,
10/20/2021,05/30/2021,06/05/2021,2021,22,06/05/2021,United States,Nonmetropolitan,221,8394,
10/20/2021,06/06/2021,06/12/2021,2021,23,06/12/2021,United States,All Counties in the U.S.,2018,56053,
10/20/2021,06/06/2021,06/12/2021,2021,23,06/12/2021,United States,Metropolitan,1782,47510,
10/20/2021,06/06/2021,06/12/2021,2021,23,06/12/2021,United States,Nonmetropolitan,236,8543,
10/20/2021,06/13/2021,06/19/2021,2021,24,06/19/2021,United States,All Counties in the U.S.,1751,56287,
10/20/2021,06/13/2021,06/19/2021,2021,24,06/19/2021,United States,Metropolitan,1565,47711,
10/20/2021,06/13/2021,06/19/2021,2021,24,06/19/2021,United States,Nonmetropolitan,186,8576,
10/20/2021,06/20/2021,06/26/2021,2021,25,06/26/2021,United States,All Counties in the U.S.,1604,56000,
10/20/2021,06/20/2021,06/26/2021,2021,25,06/26/2021,United States,Metropolitan,1422,47627,
10/20/2021,06/20/2021,06/26/2021,2021,25,06/26/2021,United States,Nonmetropolitan,182,8373,
10/20/2021,06/27/2021,07/03/2021,2021,26,07/03/2021,United States,All Counties in the U.S.,1510,56245,
10/20/2021,06/27/2021,07/03/2021,2021,26,07/03/2021,United States,Metropolitan,1332,47753,
10/20/2021,06/27/2021,07/03/2021,2021,26,07/03/2021,United States,Nonmetropolitan,178,8492,
10/20/2021,07/04/2021,07/10/2021,2021,27,07/10/2021,United States,All Counties in the U.S.,1612,55634,
10/20/2021,07/04/2021,07/10/2021,2021,27,07/10/2021,United States,Metropolitan,1394,47109,
10/20/2021,07/04/2021,07/10/2021,2021,27,07/10/2021,United States,Nonmetropolitan,218,8525,
10/20/2021,07/11/2021,07/17/2021,2021,28,07/17/2021,United States,All Counties in the U.S.,1949,55577,
10/20/2021,07/11/2021,07/17/2021,2021,28,07/17/2021,United States,Metropolitan,1691,47111,
10/20/2021,07/11/2021,07/17/2021,2021,28,07/17/2021,United States,Nonmetropolitan,258,8466,
10/20/2021,07/18/2021,07/24/2021,2021,29,07/24/2021,United States,All Counties in the U.S.,2714,56642,
10/20/2021,07/18/2021,07/24/2021,2021,29,07/24/2021,United States,Metropolitan,2355,47981,
10/20/2021,07/18/2021,07/24/2021,2021,29,07/24/2021,United States,Nonmetropolitan,359,8661,
